hostname,mgmtIp,vendor,model,serialNumber,sshUsername,sshPassword
Spine-1,172.16.0.1,Juniper,QFX5130-32CD,JN1234ABC01,admin,Juniper123!
Spine-2,172.16.0.2,Juniper,QFX5130-32CD,JN1234ABC02,admin,Juniper123!
Leaf-1,172.16.0.3,Juniper,QFX5120-48Y,JN5678DEF01,admin,Juniper123!
Leaf-2,172.16.0.4,Arista,DCS-7050TX3-48C8,AR9012GHI01,admin,Arista456!
Leaf-3,172.16.0.5,Cisco,Nexus 93180YC-FX,FOC2345JKL1,admin,Cisco789!
Border-Leaf,172.16.0.6,Juniper,QFX5120-32C,JN3456MNO01,admin,Juniper123!
Firewall-1,172.16.0.10,Palo Alto,PA-3260,PA7890PQR01,admin,PAN@dmin1
Core-SW,172.16.0.20,Nokia,7220 IXR-D3L,NK1234STU01,admin,Nokia321!
WAN-Router,172.16.0.30,Cisco,ASR-9901,FOC6789VWX1,admin,Cisco789!
Server-TOR,172.16.0.40,SONiC,Edgecore AS7726-32X,EC0123YZA01,admin,sonic123
DC-GW,172.16.0.50,Huawei,CE6881-48S6CQ,HW4567BCD01,admin,Huawei@123
Access-SW,172.16.0.60,Dell,S5248F-ON,DL8901EFG01,admin,Dell!234
Mgmt-SW,172.16.0.70,HPE,Aruba CX 6300M,HP2345HIJ01,admin,HPE@345
Edge-Router,172.16.0.80,MikroTik,CCR2216-1G-12XS-2XQ,MK6789KLM01,admin,mikrotik
Campus-SW,172.16.0.90,Extreme,X690-48x-2q-4c,EX0123NOP01,admin,Extreme!
